#{"t_start": 1776543431.8536737, "env_id": "LunarLanderContinuous-v3"}
r,l,t
289.985149,159,2701.380414
304.518746,177,2703.52816
267.964672,145,2705.125295
297.221656,219,2707.592643
271.532521,175,2709.705945
283.775691,149,2711.399101
293.797308,278,2714.216715
230.535199,573,2720.739166
278.036353,152,2722.546235
292.019717,145,2724.318244
251.251025,182,2726.197072
293.092901,229,2728.451998
275.543459,344,2732.421986
274.714128,199,2734.64267
289.748415,325,2738.245352
266.390422,151,2740.007061
295.07065,207,2742.642317
296.803849,165,2744.610659
232.487826,812,2754.029104
263.91202,167,2755.913658
266.522523,184,2757.974902
306.056716,263,2760.862895
255.830729,186,2763.192027
268.80322,209,2765.909426
290.656241,447,2770.97325
278.865198,205,2773.132443
252.416617,173,2774.941498
279.542218,161,2776.888004
286.553109,219,2779.594624
304.813364,218,2782.205893
247.534944,171,2783.945844
268.404254,177,2785.732955
262.666446,191,2787.602999
245.522396,173,2789.590035
251.19241,166,2791.678988
269.358931,169,2793.796529
268.711873,204,2796.365844
272.633741,156,2798.000316
260.873838,195,2799.926101
277.800985,160,2801.583668
287.938042,225,2804.203227
239.283845,159,2806.014225
264.579831,180,2808.054966
278.592873,193,2810.296836
261.802183,157,2812.072951
264.295151,250,2814.86369
289.697658,190,2817.013257
284.697886,173,2819.001797
292.44365,216,2821.589167
301.317199,209,2824.164294
42.41481,150,2826.088928
274.3836,295,2828.93302
271.68853,180,2830.626379
260.927411,187,2832.392697
292.576338,166,2834.335882
307.005925,197,2836.708384
279.265839,180,2838.799738
265.358047,169,2840.758716
265.855227,176,2842.772019
290.880275,150,2844.50165
296.504571,194,2846.706897
268.363458,212,2849.135719
270.306316,290,2851.975153
290.039458,202,2853.917403
254.060522,182,2856.063117
246.774852,172,2858.226452
249.275093,160,2860.262577
265.973362,188,2862.750531
279.780518,209,2864.746087
277.70281,150,2866.152468
290.267735,244,2868.739297
264.045563,177,2870.829607
280.4074,149,2872.551742
269.69755,211,2875.039042
258.081631,148,2876.722208
256.833369,165,2878.425221
292.133821,201,2880.419561
265.18493,146,2881.864956
262.465418,133,2883.257437
259.153477,180,2885.43913
259.326809,336,2889.4127
264.800435,199,2891.593279
280.602567,142,2893.062502
279.141625,220,2895.375902
274.857444,173,2897.253688
253.928993,156,2898.76247
301.488734,207,2900.792563
294.431271,188,2902.671863
304.572388,196,2904.878335
277.916954,170,2906.942466
300.248337,182,2909.184437
287.033093,175,2911.364776
